mouse_id;Persistence_Index;Motivation_Index_PR;Compulsivity_Index_Shock;Pellets_Intake;Impulsivity_Index_Time_Out;Appetitive_Associative_Stimuli_Idx;N_Errors_in_Rev_Test_Cognitive_inflexibility;Aversive_Associative_Stimuli_Idx_Post_Shock;Binge_first_half;Binge_second_half;Binge_total;PFPeriod_Total;PFPeriod_First_3 min;PFPeriod_First_5_min
2A;24,33;260;2;2043;216,3;78;470;92;110;54;142;477;115;200
3A;13,67;180;8;1363;210,0;80;201;175;58;30;114;553;116;224
6A;32,33;410;9;2175;251,0;32;503;260;180;43;68;309;65;103
8A;27,33;225;7;2028;77,7;-13;402;85;110;59;211;1180;108;351
9A;23,00;155;6;1000;96,3;26;186;115;15;6;167;1374;173;557
13A;26,00;260;3;1347;33,3;32;385;92;41;27;125;735;132;260
15A;11,00;350;4;2125;269,3;16;174;161;118;93;44;350;34;121
1B;18,33;225;1;1192;34,3;-30;209;8;32;12;164;565;98;240
3B;6,33;300;7;1639;108,3;23;260;184;81;54;88;456;87;226
4B;11,33;180;3;1657;221,7;107;201;236;145;62;135;267;39;106
6B;8,33;225;1;1332;42,7;-26;192;147;28;36;207;651;128;281
7B;11,33;350;2;1783;222,3;147;514;161;147;49;19;106;38;59
8B;6,33;300;4;1270;27,3;11;221;74;28;10;223;764;203;327
10B;27,67;260;4;1859;68,7;106;369;42;97;45;64;406;93;194
12B;23,00;350;2;1634;90,7;-1;378;50;85;29;196;369;96;198
15B;45,00;540;3;1792;348,7;147;676;45;103;64;87;214;32;58
16B;31,00;155;6;1578;119,3;132;541;140;101;24;169;720;85;220
4C;12,33;155;2;657;31,7;-6;128;28;14;5;38;352;63;135
7C;9,67;225;10;1099;136,0;53;215;122;52;35;21;303;83;138
5A;64,33;410;5;1835;171,7;-41;228;151;50;59;244;868;214;386
11A;71,33;410;9;2136;201,0;189;259;183;168;76;188;809;133;321
16A;59,67;300;4;1456;214,3;-14;289;48;79;37;228;292;94;147
2B;33,33;350;3;2030;326,0;167;446;15;129;103;116;485;168;242
5B;25,33;180;5;1761;41,0;-2;232;168;84;46;126;1408;253;708
11B;16,33;21;2;1781;293,3;82;100;74;117;71;232;1550;433;675
14B;74,67;465;3;1943;411,3;318;435;329;133;95;105;819;270;407
1C;25,33;465;2;1593;304,0;63;299;16;68;58;109;1101;202;511
3C;39,67;465;4;1128;107,0;9;300;148;70;35;130;492;93;156
6C;27,67;260;7;1781;99,0;162;311;102;93;50;143;283;58;106
8C;0,00;155;1;968;46,3;18;113;115;45;28;73;578;93;197
9C;27,00;410;6;948;0,0;155;391;102;80;33;113;981;124;351