Mice;diet_group_ireland;Persistence_EP;Persistence_MP;Persistence_LP;Persistence_increment_EP;Persistence_increment_MP;Persistence_increment_LP;Persistence_evolution_1-6FR1;Persistence_evolution_1-10FR5;Persistence_evolution_11-20FR5;Persistence_evolution_21-30FR5;Persistence_evolution_31-40FR5;Persistence_evolution_41-50FR5;Persistence_evolution_51-60FR5;Persistence_evolution_61-70FR5;Persistence_evolution_71-80FR5;Persistence_evolution_81-92FR5;Motivation_EP;Motivation_MP;Motivation_LP;Effort_total_PR_EP;Effort_total_PR_MP;Effort_total_PR_LP;Compulsivity_EP;Compulsivity_MP;Compulsivity_LP;Pellets_shock_EP;Pellets_shock_MP;Pellets_shock_LP;Impulsivity_EP;Impulsivity_MP;Impulsivity_LP;Impulsivity_increment_EP;Impulsivity_increment_MP;Impulsivity_increment_LP;Impulsivity_evolution_1-6FR1;Impulsivity_evolution_1-10FR5;Impulsivity_evolution_11-20FR5;Impulsivity_evolution_21-30FR5;Impulsivity_evolution_31-40FR5;Impulsivity_evolution_41-50FR5;Impulsivity_evolution_51-60FR5;Impulsivity_evolution_61-70FR5;Impulsivity_evolution_71-80FR5;Impulsivity_evolution_81-92FR5;Inflexibility_EP;Inflexibility_MP;Inflexibility_LP;Flexibility_EP;Flexibility_MP;Flexibility_LP;Reversal_seeking_EP;Reversal_seeking_MP;Reversal_seeking_LP;Reversal_accuracy_EP;Reversal_accuracy_MP;Reversal_accuracy_LP;Reversal_error_percentage_EP;Reversal_error_percentage_MP;Reversal_error_percentage_LP;Appetitive_increment_EP;Appetitive_increment_MP;Appetitive_increment_LP;Appetitive_activestotal_EP;Appetitive_activestotal_MP;Appetitive_activestotal_LP;Appetitive_extinction_EP;Appetitive_extinction_MP;Appetitive_extinction_LP;Appetitive_extinction_crit_EP;Appetitive_extinction_crit_MP;Appetitive_extinction_crit_LP;Appetitive_extinction_percentage_EP;Appetitive_extinction_percentage_MP;Appetitive_extinction_percentage_LP;Appetitive_reinstatement_crit_EP;Appetitive_reinstatement_crit_MP;Appetitive_reinstatement_crit_LP;Appetitive_reinstatement_percentage_EP;Appetitive_reinstatement_percentage_MP;Appetitive_reinstatement_percentage_LP;Aversive_EP;Aversive_MP;Aversive_LP;Aversive_seeking_EP;Aversive_seeking_MP;Aversive_seeking_LP;Aversive_suppression_EP;Aversive_suppression_MP;Aversive_suppression_LP;Reinforcement_EP;Reinforcement_MP;Reinforcement_LP;Reinforcement_increment_EP;Reinforcement_increment_MP;Reinforcement_increment_LP;Reinforcement_evolution_1-6FR1;Reinforcement_evolution_1-10FR5;Reinforcement_evolution_11-20FR5;Reinforcement_evolution_21-30FR5;Reinforcement_evolution_31-40FR5;Reinforcement_evolution_41-50FR5;Reinforcement_evolution_51-60FR5;Reinforcement_evolution_61-70FR5;Reinforcement_evolution_71-80FR5;Reinforcement_evolution_81-92FR5;Criteria_EP;Criteria_MP;Criteria_LP;Addiction_prediction_EP;Addiction_prediction_MP;Addiction_categorization_LP;Body weight_EP;Body weight_MP;Body weight_LP;Body weight_increment_EP;Body weight_increment_MP;Body weight_increment_LP;Acquisition_day;Acquisition_reinforcers;Acquisition_discrimination;Acquisition_stability
4D;;5,33;0,00;18,67;-0,17;-5,50;13,17;7,50;16,35;12,50;17,30;15,90;18,65;10,30;6,90;9,00;12,88;260;350;300;1462;2200;1795;3;1;0;1;0;0;13,67;17,67;37,33;5,67;9,67;29,33;19,83;48,45;37,40;25,90;22,20;43,30;48,10;49,00;44,30;50,71;116;96;158;18;7;12;134;103;170;13,43;6,80;7,06;86,57;93,20;92,94;53;89;8;119;227;113;88;273;170;No;No;No;-6,25;53,54;17,02;Yes;Yes;No;311,76;193,48;20,51;110;201;134;123;219;147;51,33;-2,03;39,91;24,03;25,87;29,93;26,33;14,53;16,37;35,83;23,45;21,50;22,00;22,00;28,20;24,10;22,80;25,90;31,50;0;1;0;Res;Res;NA;27,05;28,45;29,80;-0,1;1,315;0,87;15;40,33;94,44;97,80
5D;;4,67;3,00;16,00;1,17;-0,50;12,50;0,50;3,80;10,00;17,60;7,70;16,25;21,50;19,05;23,40;16,71;75;120;225;206;536;1174;1;2;1;1;1;0;2,67;30,67;55,33;0,67;28,67;53,33;5,00;3,00;50,10;56,60;53,90;88,00;101,40;60,05;72,50;80,83;138;257;192;9;255;263;147;512;455;6,12;49,80;57,80;93,88;50,20;42,20;1;72;76;48;252;306;126;227;259;No;No;No;-385,71;52,87;50,55;No;Yes;Yes;2,94;175,61;168,89;14;46;45;23;91;74;67,44;86,47;80,35;10,93;32,67;34,20;2,17;8,43;30,17;4,67;4,90;24,90;32,50;27,70;32,30;34,00;28,70;31,20;35,75;0;0;0;Res;Res;NA;25,23;28,86;31,17;2,2;4,95;6,89;19;21,67;97,55;91,79
7D;Non_Addict;3,00;7,33;13,33;1,67;6,00;12,00;0,00;18,25;5,60;17,20;10,70;18,05;5,00;10,50;16,20;7,38;180;155;180;878;669;908;3;0;1;3;0;0;3,67;37,67;57,67;2,67;36,67;56,67;0,00;31,90;13,40;22,40;19,10;38,55;62,30;81,90;61,30;69,08;69;236;178;7;7;7;76;243;185;9,21;2,88;3,78;90,79;97,12;96,22;53;69;117;132;125;286;39;212;134;No;Yes;Yes;-11,11;98,70;82,18;Yes;Yes;Yes;530,00;3450,00;650,00;22;173;143;27;173;150;83,94;-33,08;54,02;16,37;27,77;40,33;0,17;14,70;26,10;1,83;19,75;12,70;21,50;21,10;27,65;30,70;35,80;37,30;41,50;0;0;0;Res;Res;NA;27,33;31,24;34,43;2,71;6,44;8,98;14;27,50;91,05;89,09
8D;;51,67;47,33;17,00;6,33;2,00;-28,33;8,83;42,10;33,80;36,90;23,50;35,30;22,00;28,60;19,70;21,04;225;225;225;1029;1090;1072;7;1;1;7;0;0;63,67;110,67;58,33;17,00;64,00;11,67;40,83;69,50;96,40;105,10;80,30;90,80;41,90;102,60;70,70;101,67;346;301;254;207;236;48;553;537;302;37,43;43,95;15,89;62,57;56,05;84,11;192;41;197;398;130;334;222;149;146;No;Yes;Yes;21,54;94,29;91,03;Yes;Yes;Yes;376,47;683,33;2814,29;283;163;193;293;170;202;-77,99;39,63;31,80;36,07;32,70;36,53;-3,00;10,07;6,70;23,00;34,50;35,40;37,60;29,10;34,05;30,70;36,70;34,60;38,00;2;1;0;Vul;Res;NA;30,07;33,68;39,27;0,94;5,72;9,39;3;25,33;80,59;95,61
13D;Non_Addict;8,33;16,67;15,00;3,00;11,33;9,67;11,33;17,45;13,00;27,50;30,90;20,95;8,60;6,20;19,80;16,79;225;225;155;854;1061;665;5;1;1;2;0;0;12,67;21,33;9,00;2,67;11,33;-1,00;52,33;30,65;45,30;14,90;19,70;19,45;35,90;19,90;23,80;37,29;138;220;171;122;105;210;260;325;381;46,92;32,31;55,12;53,08;67,69;44,88;28;69;15;134;179;67;173;155;151;No;No;Yes;35,85;70,00;80,72;No;Yes;No;82,35;287,50;93,75;152;194;124;172;260;145;-7,80;-1,04;28,74;22,47;27,87;29,17;33,00;11,47;16,87;44,00;20,80;26,00;25,80;26,60;27,70;27,80;24,90;27,00;29,21;0;0;0;Res;Res;NA;25,99;29,98;32,63;1,99;4,94;7,49;5;54,00;83,02;95,06
3A;;4,67;9,33;8,00;-2,00;2,67;1,33;7,33;25,65;19,75;17,00;7,10;10,65;7,60;10,90;11,80;13,75;155;120;155;679;452;644;4;1;2;1;0;0;18,67;25,33;23,00;12,67;19,33;17,00;33,17;102,95;54,80;31,40;28,40;34,20;63,20;68,70;58,00;50,79;109;165;134;22;43;41;131;208;175;16,79;20,67;23,43;83,21;79,33;76,57;96;20;-14;172;70;75;137;275;201;Yes;Yes;Yes;73,02;97,11;88,55;Yes;Yes;No;564,71;400,00;-93,33;159;158;174;173;166;197;45,17;32,48;15,94;30,93;31,67;32,37;15,33;19,93;20,67;26,33;27,90;30,80;27,10;26,90;29,80;36,00;39,30;36,20;33,46;0;0;1;Res;Res;NA;27,76;32,85;36,69;2,4;6,95;9,81;5;32,33;91,52;94,50
4A;;40,00;29,00;34,00;12,67;1,67;6,67;6,00;23,00;14,20;22,90;13,50;20,70;11,80;11,00;35,40;26,50;225;260;180;1152;1320;962;0;0;1;0;0;0;49,00;69,33;77,67;17,33;37,67;46,00;22,33;51,30;40,40;47,40;129,40;78,40;42,70;49,20;53,50;56,38;216;195;370;15;10;15;231;205;385;6,49;4,88;3,90;93,51;95,12;96,10;17;42;58;172;128;95;229;264;135;No;Yes;Yes;-11,36;84,87;82,05;No;Yes;Yes;34,69;182,61;414,29;122,94;159;81;138,84;167;87;41,73;35,37;68,11;32,00;39,77;40,90;-10,33;0,67;8,43;21,00;34,00;27,90;32,30;41,60;41,85;32,10;38,10;34,30;41,79;0;0;1;Res;Res;NA;24,41;26,46;27,94;-0,8;0,93;2,6;10;40,00;98,98;86,67
7A;;42,00;37,00;6,67;4,67;-0,33;-30,67;20,83;47,05;47,30;34,30;9,40;38,25;34,30;31,60;14,10;20,54;410;260;180;2382;1367;935;6;1;2;2;1;0;314,67;79,33;41,67;45,67;-189,67;-227,33;134,67;225,80;253,60;199,40;159,50;131,55;138,50;230,30;108,00;95,88;538;292;397;158;68;28;696;360;425;22,70;18,89;6,59;77,30;81,11;93,41;85;9;-1;460;131;99;560;218;289;No;Yes;Yes;18,75;75,61;86,79;No;No;No;65,38;30,00;-4,76;162;260;153;176;285;167;59,50;37,65;62,86;54,87;46,37;40,90;-8,67;2,87;-5,63;43,33;50,20;58,20;54,70;48,80;47,95;44,90;56,60;40,90;44,88;3;1;1;Vul;Res;NA;27,64;31,87;34,29;2,06;5,35;7,3;6;66,00;98,53;87,88
8A;;0,33;2,00;0,00;0,00;1,67;-0,33;0,50;0,35;0,90;0,70;1,10;4,05;1,10;0,30;0,20;6,38;21;75;180;52;266;757;1;3;3;0;1;0;0,00;0,33;0,00;0,00;0,33;0,00;0,67;0,00;0,20;0,00;0,70;1,55;0,30;0,30;0,20;1,00;13;35;28;10;12;20;23;47;48;43,48;25,53;41,67;56,52;74,47;58,33;-5;-1;25;3;17;43;17;46;108;No;No;Yes;-200,00;-57,14;76,92;No;No;Yes;-83,33;-9,09;416,67;5;42;54;6;53;55;44,44;46,15;-54,29;1,73;13,40;6,20;7,67;-0,27;11,40;9,67;1,40;1,70;1,10;4,80;16,20;6,00;6,80;5,10;6,92;0;1;1;Res;Res;NA;27,48;29,78;31,20;1,68;3,58;5,1;20;3,00;90,78;55,56
6B;;60,33;16,00;31,33;3,67;-40,67;-25,33;5,83;36,40;38,60;43,20;18,40;26,65;23,10;22,30;23,10;22,42;300;300;225;1819;1616;1004;6;1;1;1;0;0;160,67;133,33;67,67;31,00;3,67;-62,00;27,00;143,15;191,20;201,70;158,40;111,65;74,50;128,30;69,60;110,25;431;223;277;23;37;138;454;260;415;5,07;14,23;33,25;94,93;85,77;66,75;97;61;8;273;130;109;306;282;158;No;Yes;No;28,43;96,13;67,16;Yes;Yes;No;132,88;871,43;36,36;29;96;110;47;103;133;91,34;72,80;71,20;48,53;35,23;44,40;-30,50;2,53;-10,77;15,50;48,90;48,00;49,80;46,20;36,95;35,70;48,30;41,60;45,08;3;1;1;Vul;Res;NA;27,41;30,54;33,69;1,33;4,58;6,75;10;55,00;98,23;89,09
11B;;12,67;6,67;9,33;-2,67;-8,67;-6,00;7,83;8,50;18,60;10,30;18,50;12,85;11,00;12,90;12,80;2,96;51;120;155;152;464;639;4;3;3;0;2;1;11,67;47,33;110,00;0,67;36,33;99,00;10,67;11,10;29,10;30,40;73,60;57,00;62,50;157,30;105,00;100,17;197;188;236;22;102;226;219;290;462;10,05;35,17;48,92;89,95;64,83;51,08;-12;-12;-6;50;11;15;187;162;163;No;Yes;Yes;53,13;88,39;90,53;No;No;No;-40,00;-92,31;-66,67;47;88;136;56;103;167;68,03;66,79;67,07;20,87;43,17;52,93;2,00;-0,80;21,50;23,67;17,90;26,60;31,20;36,50;42,75;44,60;56,70;53,40;53,42;0;1;1;Res;Res;NA;27,48;31,75;33,56;0,78;4,66;6,45;9;21,67;96,07;92,82
3C;;46,00;19,00;23,33;7,00;-20,00;-15,67;2,33;29,00;30,60;18,20;20,00;15,40;8,80;15,00;12,40;16,29;225;225;465;1148;1114;2960;6;2;1;1;1;0;108,33;23,00;29,00;32,33;-53,00;-47,00;18,83;68,48;48,80;44,30;41,10;33,10;29,90;33,80;42,80;58,13;198;113;287;206;18;129;404;131;416;50,99;13,74;31,01;49,01;86,26;68,99;21;11;296;98;114;571;132;237;450;No;No;No;-260,00;68,13;68,18;No;No;Yes;58,33;37,93;604,08;274;221;267;292;232;276;-37,69;-19,46;-1,52;37,00;30,53;33,97;-24,50;0,67;-5,80;11,83;36,30;36,50;34,80;29,60;30,20;33,00;35,60;35,00;35,71;2;0;1;Vul;Res;NA;26,98;30,17;31,56;0,34;3,35;4,04;10;45,67;98,64;89,29
6C;;26,67;33,67;12,33;8,33;15,33;-6,00;0,67;23,05;29,90;38,30;41,20;37,55;25,50;14,30;18,90;18,25;180;630;540;954;4331;3667;3;1;1;1;0;0;120,00;215,67;221,67;33,33;129,00;135,00;9,33;96,90;121,00;186,10;341,50;201,15;90,70;220,30;125,50;184,29;245;337;439;41;96;288;286;433;727;14,34;22,17;39,61;85,66;77,83;60,39;33;238;19;109;402;117;209;331;172;Yes;Yes;Yes;72,00;91,71;84,27;Yes;Yes;Yes;157,14;1586,67;135,71;49;337;320;51;349;351;82,93;15,11;21,76;30,37;51,20;43,90;-15,67;6,03;26,87;8,67;30,05;36,60;44,90;56,50;52,70;37,20;44,90;40,40;44,88;0;2;1;Res;Vul;NA;26,06;28,62;31,24;0,55;3,11;5,75;10;33,00;97,63;91,92
12C;;56,33;20,00;15,33;10,00;-26,33;-31,00;2,67;31,90;22,80;39,50;28,90;23,90;11,40;9,10;9,00;9,75;300;225;90;1816;1127;329;7;6;4;3;0;0;15,00;47,33;82,00;-1,00;31,33;66,00;4,83;28,75;52,50;72,60;65,70;69,00;59,50;79,60;82,70;71,42;264;376;253,84;117;203;110,72;381;579;364,56;30,71;35,06;30,37;69,29;64,94;69,63;176;294;3;280;316;7;179;319;114;No;Yes;Yes;59,38;94,90;98,55;Yes;Yes;Yes;676,92;2940,00;300,00;177;346;246;192;378;273;12,38;-37,85;15,17;28,90;37,80;47,95;-10,67;6,23;15,13;12,00;26,55;27,70;30,90;32,20;37,70;40,90;44,20;50,10;47,19;3;1;1;Vul;Res;NA;27,39;29,42;30,40;1,33;3,3;4,93;6;19,00;81,75;92,98
14C;;34,00;32,67;15,67;6,00;4,67;-12,33;9,50;33,15;27,00;49,90;46,40;27,40;26,35;12,60;17,40;16,79;225;465;410;1067;2872;2532;7;2;1;1;0;1;29,33;90,33;76,67;-0,33;60,67;47,00;67,50;30,95;41,60;57,60;64,00;83,95;75,15;119,50;76,30;104,25;229;54;291;19;14;16;248;68;307;7,66;20,59;5,21;92,34;79,41;94,79;91;14;133;208;32;299;223;102;225;No;Yes;No;62,77;81,25;55,75;Yes;Yes;Yes;260,00;155,56;266,00;177;174;7;216;183;27;16,51;21,97;97,81;32,23;40,80;39,90;8,00;0,90;9,47;39,33;30,45;36,90;41,20;45,60;42,35;33,25;32,00;38,60;40,46;1;2;1;Res;Vul;NA;28,75;32,46;35,80;2,21;5,5;9,41;9;31,33;94,30;90,07
15C;;9,67;9,33;18,33;-0,33;-0,67;8,33;2,67;9,85;8,50;16,30;15,30;11,75;15,20;11,30;15,30;17,21;120;180;225;454;921;1054;7;3;2;0;0;1;58,67;46,00;18,00;-52,33;-65,00;-93,00;17,67;53,95;9,80;27,30;46,40;29,35;21,50;27,90;19,40;28,25;44;99;72;18;7;6;62;106;78;29,03;6,60;7,69;70,97;93,40;92,31;4;-46;-17;61;77;68;67;170;178;No;No;No;-28,57;-122,58;40,63;No;No;No;22,22;-66,67;-44,74;47;89;208;47;89;209;44,05;63,37;-4,52;13,57;17,50;24,83;2,17;-4,77;-0,83;20,50;15,45;9,50;14,50;19,10;17,75;17,50;22,50;19,70;26,54;1;1;1;Res;Res;NA;26,68;30,52;31,56;2;5,56;5,9;5;26,33;87,69;90,72
6D;;7,67;44,00;6,33;0,00;36,33;-1,33;3,17;18,35;29,40;29,30;25,10;36,45;14,90;21,60;18,10;18,46;120;225;260;552;1094;1324;5;4;5;5;1;1;9,67;41,67;52,67;6,33;38,33;49,33;7,83;7,60;18,10;13,70;16,30;46,90;31,80;47,90;39,20;49,58;271;184;276;179;65;21;450;249;297;39,78;26,10;7,07;60,22;73,90;92,93;59;191;252;207;329;433;183;282;301;No;Yes;Yes;39,22;76,13;77,30;Yes;Yes;Yes;190,32;516,22;787,50;242;170;193;279;187;207;-210,26;13,27;30,58;25,73;35,20;42,40;2,00;12,73;22,20;15,00;22,70;32,80;31,10;28,70;37,00;34,70;47,20;40,20;43,58;0;2;1;Res;Vul;NA;28,45;32,73;37,39;1,27;6,59;9,56;11;26,67;90,72;86,67
10D;;19,33;34,00;30,33;14,33;29,00;25,33;0,00;25,05;37,70;47,40;41,10;31,40;14,60;10,45;23,00;24,13;155;300;260;674;1775;1332;2;1;0;2;0;0;74,00;95,00;99,00;26,67;47,67;51,67;0,83;79,80;130,10;86,90;134,40;87,90;136,50;86,70;85,00;126,63;421;325;236;182;161;481;603;486;717;30,18;33,13;67,09;69,82;66,87;32,91;343;276;59;605;583;256;388;389;203;No;No;No;-63,46;69,32;60,61;Yes;Yes;Yes;403,53;511,11;151,28;122;231;286;143;235;329;34,05;26,20;-13,04;24,20;39,57;33,13;-10,50;11,53;26,90;2,17;21,40;31,80;34,40;39,90;38,05;37,90;35,00;33,30;34,50;0;2;1;Res;Vul;NA;29,00;32,27;34,52;1,82;5,43;7,91;17;36,33;95,58;93,88
15D;Non_Addict;10,67;10,00;32,67;7,33;6,67;29,33;0,33;43,60;20,00;36,30;27,20;7,85;8,50;3,80;23,80;9,04;465;155;300;2484;630;1628;4;1;1;0;0;0;35,67;25,67;83,67;18,67;8,67;66,67;0,50;117,85;105,40;61,30;83,00;39,55;39,90;41,70;66,80;93,08;202;218;200;20;15;44;222;233;244;9,01;6,44;18,03;90,99;93,56;81,97;147;88;144;317;185;353;114;120;252;No;Yes;Yes;-153,85;92,00;70,45;Yes;Yes;Yes;445,45;1466,67;369,23;18;164;111;42;173;152;95,65;-19,71;51,95;28,30;24,53;32,00;-1,00;24,97;21,20;2,33;28,95;29,40;30,60;33,20;24,60;21,00;28,45;33,50;31,75;1;0;1;Res;Res;NA;30,10;33,63;34,97;2,75;6,25;6,65;13;34,33;95,03;92,88
15A;Addict;21,00;52,33;37,33;7,33;38,67;23,67;4,83;40,70;30,90;19,40;27,00;43,45;35,20;46,20;45,30;20,33;300;465;465;1726;3072;3268;4;1;1;0;0;0;100,00;149,00;252,33;47,00;96,00;199,33;27,50;157,70;152,90;93,90;148,00;151,25;158,50;181,10;201,10;239,71;152;304;276;231;225;14;383;529;290;60,31;42,53;4,83;39,69;57,47;95,17;168;359;268;333;733;682;214;524;301;No;No;No;57,75;20,75;-52,54;Yes;Yes;Yes;560,00;284,92;297,78;112;291;184;114;315;199;70,45;-16,87;65,41;33,80;40,80;47,20;2,67;17,13;24,13;19,33;30,40;39,10;30,60;36,80;40,50;40,50;44,80;51,60;47,42;1;2;2;Res;Vul;A;27,81;31,56;33,91;-0,18;3,72;4,97;6;32,67;89,15;90,48
11C;Addicted;31,67;27,33;24,00;7,33;3,00;-0,33;5,67;36,50;14,90;16,00;10,50;30,70;11,10;16,00;8,10;23,13;225;225;300;1035;1119;1865;5;1;2;2;0;0;90,67;127,00;126,00;36,67;73,00;72,00;41,33;80,45;54,40;74,20;81,90;77,80;88,90;79,60;74,10;90,08;149;377;301;97;20;205;246;397;506;39,43;5,04;40,51;60,57;94,96;59,49;118;38;232;163;175;493;166;175;370;Yes;Yes;No;94,25;90,24;21,66;Yes;Yes;Yes;2360,00;316,67;188,62;135;169;209;147;185;225;8,16;32,40;28,42;39,50;39,03;50,00;-5,67;0,83;0,37;33,00;41,85;35,40;34,10;37,50;36,65;46,60;41,60;43,70;50,67;0;0;2;Res;Res;A;29,35;32,35;37,16;2,71;7,57;9,91;8;40,67;92,20;87,43
7B;Addict;45,33;29,33;11,33;20,33;4,33;-13,67;4,50;34,80;47,30;33,10;28,10;35,95;21,90;57,70;18,10;22,50;180;300;350;838;1824;2200;4;2;2;1;0;0;148,00;182,33;153,33;60,67;95,00;66,00;17,67;119,25;184,30;141,60;123,70;114,10;95,40;281,00;133,90;170,29;486;327;493;7;9;6;493;336;499;1,42;2,68;1,20;98,58;97,32;98,80;155;120;63;474;369;218;495;409;375;No;Yes;No;46,43;76,33;58,54;Yes;Yes;No;147,62;244,90;92,65;175;164;145;188;168;150;50,98;9,89;66,36;37,97;41,47;49,80;-9,67;18,63;22,13;9,67;29,85;45,30;43,70;41,20;41,10;40,50;59,60;44,00;51,92;1;1;2;Res;Res;A;28,54;32,07;34,38;1,54;4,39;6,22;11;34,00;97,95;92,16
13B;Addict;43,00;51,00;49,33;6,00;14,00;12,33;0,67;46,95;55,90;48,10;53,40;55,90;26,40;17,40;9,00;48,75;350;410;540;2106;2314;3777;4;0;1;0;0;0;93,00;73,33;137,33;30,67;11,00;75,00;4,67;86,30;75,20;40,40;55,80;78,05;69,00;146,20;93,60;107,38;143;213;528;17;53;152;160;266;680;10,63;19,92;22,35;89,38;80,08;77,65;162;200;78;288;293;226;357;266;227;No;Yes;No;60,76;84,66;21,62;Yes;Yes;Yes;261,29;800,00;134,48;123;170;202;142;184;202;33,15;29,75;55,11;31,23;32,17;35,83;-18,17;5,23;6,17;7,83;29,85;33,30;27,30;29,10;34,85;32,00;39,00;31,40;36,29;2;2;2;Vul;Vul;A;26,25;30,03;31,45;1,96;5,74;6,96;10;32,33;86,11;93,13
14B;Addict;31,33;12,67;39,67;7,33;-11,33;15,67;10,17;30,85;27,00;20,70;16,60;74,00;20,25;27,81;38,80;49,63;180;300;465;853;1614;3072;7;4;1;5;2;0;19,00;48,00;93,00;12,67;41,67;86,67;31,33;17,90;32,10;45,90;36,10;90,48;21,25;213,53;95,80;137,17;351;128;589;70;19;173;421;147;762;16,63;12,93;22,70;83,37;87,07;77,30;59;-4;96;155;16;282;174;56;285;No;No;Yes;45,59;33,33;73,86;Yes;No;Yes;159,46;-40,00;417,39;159;127;260;170;155;260;-22,31;30,22;31,03;23,40;32,10;38,63;9,17;6,07;14,77;26,50;21,70;27,80;34,40;29,10;35,70;26,85;39,18;40,60;39,29;1;2;2;Res;Vul;A;28,64;33,06;36,18;1,98;6,1;8,56;4;25,33;84,94;92,98
15B;Addict;2,33;35,67;13,00;-1,33;32,00;9,33;1,50;5,40;27,30;41,20;18,50;47,35;19,20;33,15;21,20;32,83;90;260;630;313;1388;4455;5;2;2;0;1;0;1,00;95,33;83,67;-1,33;93,00;81,33;11,67;3,00;37,20;61,40;78,80;97,65;116,20;95,20;72,60;140,46;221;407;166;9;5;6;230;412;172;3,91;1,21;3,49;96,09;98,79;96,51;39;344;164;123;623;354;168;289;239;No;Yes;Yes;21,28;75,60;84,03;Yes;Yes;Yes;105,41;839,02;713,04;52;258;290;64;258;290;67,90;-1,98;22,04;11,37;38,20;48,10;15,17;8,70;35,53;17,83;4,15;26,80;35,50;35,60;38,80;39,20;46,97;45,00;49,29;0;1;2;Res;Res;A;26,47;29,40;29,94;1,43;3,65;4,9;6;23,67;90,94;89,67
13C;Addict;41,33;37,33;55,00;-4,33;-8,33;9,33;7,83;51,20;41,90;41,90;64,60;51,85;27,60;41,55;29,20;49,75;350;730;465;2267;5108;3023;6;5;1;2;1;0;42,67;100,00;181,33;14,67;72,00;153,33;25,67;89,50;108,70;75,60;138,30;105,05;132,80;163,40;120,05;75,17;337;219;218;207;5;330;544;224;548;38,05;2,23;60,22;61,95;97,77;39,78;43;290;0;184;432;0;250;272;99;No;Yes;Yes;61,39;84,82;100,00;Yes;Yes;No;110,26;1705,88;0,00;217;307;162;260;333;162;15,23;-18,99;16,49;32,23;38,90;33,60;-2,33;6,90;13,57;23,00;30,85;33,90;29,90;41,20;41,25;39,40;41,10;35,37;32,58;2;3;2;Vul;Vul;A;28,02;30,33;32,36;0,27;3,17;4,97;6;35,33;78,98;96,86
11D;Addict;30,33;15,67;8,00;9,00;-5,67;-13,33;6,33;31,15;37,40;42,90;13,50;39,75;9,50;13,50;10,80;28,08;300;300;540;1502;1821;3561;5;2;2;5;2;0;58,67;64,00;54,00;21,33;26,67;16,67;32,67;75,60;50,10;48,10;66,10;86,95;62,80;78,10;91,80;103,46;214;177;522;261;32;146;475;209;668;54,95;15,31;21,86;45,05;84,69;78,14;216;180;284;347;349;425;134;202;306;No;No;Yes;44,64;68,42;84,76;Yes;Yes;Yes;696,77;428,57;1136,00;199;195;246;230;208;268;38,20;25,29;44,97;33,30;42,03;48,93;4,00;-0,03;8,70;37,33;34,55;28,10;34,20;34,30;43,05;34,20;46,60;49,60;50,50;1;1;2;Res;Res;A;26,16;30,65;33,60;0,13;4,67;8,03;4;44,33;79,80;92,98
12D;Addict;45,67;30,00;35,67;14,67;-1,00;4,67;1,00;35,95;19,00;21,10;20,30;23,40;11,20;21,60;17,60;14,21;300;410;260;1258;2750;1341;5;2;2;2;0;0;44,00;79,00;106,67;14,67;49,67;77,33;7,83;37,95;68,50;47,10;66,30;66,05;72,80;80,60;78,90;88,83;191;195;138;12;8;7;203;203;145;5,91;3,94;4,83;94,09;96,06;95,17;92;60;81;318;161;307;266;196;204;No;Yes;No;66,25;97,22;6,85;Yes;Yes;Yes;340,74;1500,00;119,12;288;122;152;291;124;159;-54,01;47,86;48,99;25,43;36,53;39,57;-18,17;-2,23;8,87;9,50;24,55;25,60;29,00;34,20;36,70;33,20;35,90;41,30;39,54;2;1;2;Vul;Res;A;27,98;32,67;34,98;3,2;6,31;7,6;9;30,33;96,83;85,35
14D;Addict;31,00;32,00;34,67;16,67;17,67;20,33;13,83;41,55;30,30;56,40;28,40;29,10;24,30;25,60;26,60;16,42;410;300;350;2278;1756;2181;6;2;1;2;0;0;118,67;155,67;283,33;47,67;84,67;212,33;46,50;111,80;116,50;150,70;146,10;153,10;139,05;146,40;169,40;130,21;271;559;233;19;311;10;290;870;243;6,55;35,75;4,12;93,45;64,25;95,88;57;78;31;169;183;167;322;199;265;No;No;No;52,04;68,00;65,25;Yes;Yes;No;121,28;325,00;63,27;379;330;168;392;336;185;-1,34;9,09;49,09;38,00;52,87;54,13;-3,17;4,33;19,20;30,50;40,10;36,90;46,80;50,00;54,50;49,60;53,20;55,10;53,58;2;1;2;Vul;Res;A;29,41;31,72;33,25;1,28;2,54;5,78;5;23,67;82,86;86,85
14A;Addict;12,33;102,67;47,33;2,00;92,33;37,00;12,00;15,55;18,80;63,50;37,80;52,80;43,75;12,75;27,85;38,21;75;410;350;219;2740;2075;8;4;2;1;1;0;9,67;235,00;171,67;1,33;226,67;163,33;69,50;24,35;59,40;45,60;46,30;145,58;76,58;167,30;104,45;137,29;150;249,14;432;49;75,4;256;199;324,54;688;24,62;23,23;37,21;75,38;76,77;62,79;51;1;0;234;23;0;202;20;5;No;No;Yes;-2,04;-500,00;100,00;Yes;No;No;102,00;16,67;0,00;100;62;152,38;144;100;164,04;39,39;74,90;54,78;18,70;35,30;34,20;19,83;7,03;23,63;31,50;15,55;24,50;25,80;24,80;37,55;28,30;35,25;33,72;35,33;1;3;3;Res;Vul;A;28,68;31,86;33,15;0,42;3,42;4,9;5;39,00;87,66;89,74
8C;Addict;0,00;26,33;31,33;0,00;26,33;31,33;0,00;0,15;32,90;24,20;21,20;23,50;33,50;24,30;28,40;29,25;5;225;350;6;1187;2215;1;6;2;1;2;0;0,00;59,33;146,67;0,00;59,33;146,67;0,00;0,00;62,00;77,40;86,50;102,60;82,80;121,70;162,70;70,63;269;288;333;224;97;450;493;385;783;45,44;25,19;57,47;54,56;74,81;42,53;64;223;213;190;287;369;182;185;217;Yes;Yes;Yes;73,91;97,35;81,65;Yes;Yes;Yes;355,56;7433,33;1065,00;122,94;127;145;16;144;158;100,00;52,43;50,51;10,63;42,17;54,07;0,17;9,63;41,17;1,17;1,45;36,20;42,30;38,30;45,15;42,60;55,70;57,90;53,58;0;1;3;Res;Res;A;27,24;30,13;31,49;-0,18;3,61;4,02;20;32,67;90,52;89,12
9D;Addict;6,00;33,67;38,67;0,33;28,00;33,00;11,83;20,85;33,40;54,20;53,70;36,15;43,80;17,90;30,90;21,17;300;465;465;1662;2960;2831;6;2;3;6;0;0;20,67;119,33;163,00;1,67;100,33;144,00;58,00;68,75;85,00;86,40;81,70;156,35;132,80;98,70;106,80;116,33;248;480;328;420;343;329;668;823;657;62,87;41,68;50,08;37,13;58,32;49,92;61;365;254;324;639;448;370;325;149;No;Yes;No;-29,63;75,74;50,00;No;Yes;Yes;58,10;890,24;846,67;227;367;157;261;425;193;8,47;-38,49;54,76;32,43;38,40;38,63;29,50;19,77;25,73;42,17;25,45;40,50;33,60;35,90;40,50;37,30;31,00;40,30;38,21;2;2;3;Vul;Vul;A;25,47;27,17;28,91;0,7;2,42;4,23;15;41,83;88,44;88,31