mouse_id;Persistence_LP;Motivation_LP;Compulsivity_LP;Impulsivity_LP;Cognitive flexibility_Errors_LP;Appetitive associative learning_LP;Aversive associative learning_Errors_LP;diet_group_ireland;;;;;
12A;14,00;180;0;98,33;0;-28;126;Non_Addict;;;;;
13A;5,00;180;0;80,67;284;0;138;Non_Addict;;;;;
4B;12,00;155;0;15,00;118;-2;48;Non_Addict;;;;;
5B;4,00;180;1;44,67;243;10;67;Non_Addict;;;;;
10B;6,33;120;0;44,67;57;-1;52;Non_Addict;;;;;
9C;0,67;225;1;54,67;182;113;98;Non_Addict;;;;;
7D;13,33;180;1;57,67;178;117;143;Non_Addict;;;;;
13D;15,00;155;1;9,00;171;15;124;Non_Addict;;;;;
5A;15,33;180;1;96,67;386;83;221;Non_Addict;;;;;
4C;7,00;120;1;131,00;187;1;66;Non_Addict;;;;;
15D;32,67;300;1;83,67;200;144;111;Non_Addict;;;;;
15A;37,33;465;1;252,33;276;268;184;Addict;;;;;
11C;24,00;300;2;126,00;301;232;209;Addicted;;;;;
7B;11,33;350;2;153,33;493;63;145;Addict;;;;;
13B;49,33;540;1;137,33;528;78;202;Addict;;;;;
14B;39,67;465;1;93,00;589;96;260;Addict;;;;;
15B;13,00;630;2;83,67;166;164;290;Addict;;;;;
13C;55,00;465;1;181,33;218;0;162;Addict;;;;;
11D;8,00;540;2;54,00;522;284;246;Addict;;;;;
14D;34,67;350;1;283,33;233;31;168;Addict;;;;;
14A;47,33;350;2;171,67;432;0;152,38;Addict;;;;;
8C;31,33;350;2;146,67;333;213;145;Addict;;;;;
9D;38,67;465;3;163,00;328;254;157;Addict;;;;;
12D;35,67;260;2;106,67;138;81;152;Addict;;;;;